strain	Sample	idnum	specnum	date	Isolate_from	species	ST	cluster
ERR2303512	KPN125	NCS-0117	OM2014-0402	2014-02-03	carriage	Klebsiella pneumoniae	ST1322	32
ERR2303513	KPN126	NCS-0119	OM2014-0403	2014-02-03	carriage	Klebsiella pneumoniae	ST896	24
ERR2303514	KPN127	NCS-0119	OM2014-0403	2014-02-03	carriage	Klebsiella pneumoniae	ST1411	5
ERR2303515	KPN128	NCS-0119	OM2014-0403	2014-02-03	carriage	Klebsiella pneumoniae	ST1074-1LV	7
ERR2303516	KPN129	NCS-0120	OM2014-0404	2014-02-03	carriage	Klebsiella pneumoniae	ST101	20
ERR2303517	KPN130	NCS-0120	OM2014-0404	2014-02-03	carriage	Klebsiella pneumoniae	ST394	30
ERR2303518	KPN131	NCS-0121	OM2014-0405	2014-02-03	carriage	Klebsiella pneumoniae	ST1411	5
ERR2303519	KPN132	NCS-0123	OM2014-0407	2014-02-03	carriage	Klebsiella pneumoniae	ST101	20
ERR2303520	KPN133	NCS-0123	OM2014-0407	2014-02-03	carriage	Klebsiella pneumoniae	ST394	30
ERR2303521	KPN134	NCSE-06	OM2014-0408	2014-02-03	environmental	Klebsiella pneumoniae	ST896	24
ERR2303522	KPN135	NCSE-02	OM2014-0410	2014-02-03	environmental	Klebsiella pneumoniae	ST45	31
ERR2303523	KPN136	NCSE-03	OM2014-0411	2014-02-03	environmental	Klebsiella pneumoniae	ST45	31
ERR2303524	KPN137	NCSE-07	OM2014-0414	2014-02-03	environmental	Klebsiella pneumoniae	ST1322	32
ERR2303525	KPN138	NCS-0124	OM2014-0419	2014-02-03	carriage	Klebsiella pneumoniae	ST394	30
ERR2303526	KPN139	NCS-0126	OM2014-0425	2014-02-04	carriage	Klebsiella pneumoniae	ST45	31
ERR2303527	KPN140	NCS-0122	OM2014-0426	2014-02-04	carriage	Klebsiella pneumoniae	ST45	31
ERR2303528	KPN141	NCS-0125	OM2014-0427	2014-02-04	carriage	Klebsiella pneumoniae	ST45	31
ERR2303529	KPN142	NCS-0126	OM2014-0455	2014-02-06	carriage	Klebsiella pneumoniae	ST45	31
ERR2303530	KPN143	NCS-0117	OM2014-0456	2014-02-06	carriage	Klebsiella pneumoniae	ST45	31
ERR2303531	KPN144	NCS-0129	OM2014-0457	2014-02-06	carriage	Klebsiella pneumoniae	ST307	33
ERR2303532	KPN145	NCS-0125	OM2014-0458	2014-02-06	carriage	Klebsiella pneumoniae	ST17	17
ERR2303533	KPN146	NCS-0119	OM2014-0459	2014-02-06	carriage	Klebsiella pneumoniae	ST307	33
ERR2303534	KPN147	NCS-0119	OM2014-0459	2014-02-06	carriage	Klebsiella pneumoniae	ST45	31
ERR2303535	KPN148	NCS-0123	OM2014-0461	2014-02-06	carriage	Klebsiella pneumoniae	ST45	31
ERR2303536	KPN149	NCS-0108	OM2014-0462	2014-02-06	carriage	Klebsiella pneumoniae	ST289-1LV	34
ERR2303537	KPN150	NCS-0117	OM2014-0477	2014-02-07	carriage	Klebsiella pneumoniae	ST45	31
ERR2303538	KPN151	NCS-0123	OM2014-0489	2014-02-07	carriage	Klebsiella pneumoniae	ST289-1LV	34
ERR2303539	KPN152	NCS-0128	OM2014-0510	2014-02-09	carriage	Klebsiella pneumoniae	ST45	31
ERR2303540	KPN153	NCS-0128	OM2014-0510	2014-02-09	carriage	Klebsiella pneumoniae	ST45	31
ERR2303541	KPN154	NCS-0108	OM2014-0515	2014-02-10	carriage	Klebsiella pneumoniae	ST45	31
ERR2303542	KPN155	NCS-0129	OM2014-0516	2014-02-10	carriage	Klebsiella pneumoniae	ST45	31
ERR2303543	KPN156	NCS-0131	OM2014-0518	2014-02-10	carriage	Klebsiella pneumoniae	ST45	31
ERR2303544	KPN157	NCS-0131	OM2014-0518	2014-02-10	carriage	Klebsiella pneumoniae	ST45	31
ERR2303545	KPN158	NCSE-06	OM2014-0524	2014-02-10	environmental	Klebsiella pneumoniae	ST469	35
ERR2303546	KPN159	NCS-0108	OM2014-0555	2014-02-11	carriage	Klebsiella pneumoniae	ST45	31
ERR2303547	KPN160	NCS-0134	OM2014-0609	2014-02-17	carriage	Klebsiella pneumoniae	ST45	31
ERR2303548	KPN161	NCS-0136	OM2014-0610	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	36
ERR2303549	KPN162	NCS-0136	OM2014-0610	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303550	KPN163	NCS-0132	OM2014-0611	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303551	KPN164	NCS-0135	OM2014-0612	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	36
ERR2303552	KPN165	NCS-0138	OM2014-0613	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303553	KPN166	NCS-0138	OM2014-0613	2014-02-17	carriage	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1822	37
ERR2303554	KPN167	NCSE-02	OM2014-0615	2014-02-17	environmental	Klebsiella quasipneumoniae subsp. similipneumoniae	ST1191	36
